,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9
nearest_tryp_cut_to_term,0.0011210446821982027,0.0014932386418298298,0.0015578129466866607,0.001076020377290793,0.0008029263757470043,0.00079280363728879,0.001575782666348288,0.0013400423677750067,0.0007073531221670219,0.0011049268479513743
net_atr_net_sol_per_res,0.24759557682446198,0.14015595791895175,0.15085185230797604,0.24794155598875112,0.25249780741199707,0.2110971786042245,0.15470525128851542,0.23353374779333105,0.3426525591507153,0.21382096640984977
net_atr_per_res,0.007827596088761499,0.0091414914608361,0.00897966771567989,0.0073396628078299525,0.006174700448215885,0.00874231229805686,0.009495476551591383,0.009178745524332912,0.005477424516163179,0.008300821276484146
net_sol_per_res,0.04293936514590853,0.02279692667954417,0.023606272824216706,0.022035417999057578,0.04086727035502554,0.023639168534554514,0.024528465213726047,0.018075819763493185,0.01603316513145138,0.025199594717180397
netcharge,0.003071163844278479,0.003600946969607974,0.003966851957960305,0.0026181256129644568,0.0031715512918287082,0.0033326346016435064,0.005606406783850295,0.004703388735228574,0.003613098384788619,0.004073614681233911
nres_helix,0.0003840245750156077,0.001082359757801813,0.0009568852164898772,0.0006113043822215265,0.00047025734987221184,0.0007029633598946639,0.001030115113744885,0.0009388262149269876,0.0003923541580676315,0.0005832333291007802
nres_loop,0.000396433892091726,0.001092248746440015,0.0009608032044909868,0.0005276190691666962,0.00038035091253678003,0.0006635698377878045,0.0010122784465012463,0.0009639658224870941,0.0003986769326647423,0.0005127173031217267
nres_sheet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
omega,0.0052128785300146994,0.007191703101904367,0.007198143166213713,0.006004170264513212,0.004183650489722891,0.004474564179396838,0.006307339398210332,0.006874806610854543,0.005698608680300544,0.006392538461157563
one_core_each,0.00022030620232321127,0.0005414073432628954,0.0005148076435699638,0.0002491902020943707,0.0001379472858620637,0.000418489137020569,0.0004133364947387271,0.00034130475401722866,0.0002640259024562216,0.00026303493955906384
p_aa_pp,0.005083045496454306,0.008773096827089823,0.008146363290621355,0.0076068108896315155,0.00585957863980432,0.006452158425962064,0.006731608441243833,0.006753042875225417,0.006764900208065995,0.0076210757682681875
pack,0.004359727584046634,0.007038106211834838,0.007529655550442724,0.006622179027426365,0.004324867375427214,0.006219247313814783,0.009050039622636752,0.00672250427616869,0.0068435459670741095,0.006126854905574643
percent_core_SASA,0.0009162325673481005,0.0020767811736325152,0.001569688851093704,0.0009371642691904305,0.0007865227632792331,0.0007172406112198709,0.0015237640294113834,0.0012606664183975826,0.0007309328333940065,0.0011594437191946895
percent_core_SCN,0.0011874411953617119,0.0017347995561244698,0.0018494589579783542,0.0009590635955092088,0.0006829781831910912,0.0013507991967897789,0.0017936400067739854,0.0013347404851923976,0.0009283626361711928,0.001246553575235987
pro_close,0.003476499439998092,0.004229865402134164,0.004474239554271768,0.0033691911312716495,0.0029660863894692894,0.002523965451148891,0.004165500795822881,0.0041238036387361175,0.0019159222908058254,0.0039360263488097385
rama_prepro,0.005603367059926521,0.007459455109364261,0.006917832165099367,0.0059317122448845,0.00460008937391727,0.004805816721197136,0.007300412859233584,0.006645757445580857,0.003588273574217984,0.0058368000525467496
ref,0.006334063832803635,0.006189357288292476,0.007268438495612313,0.00615078490128061,0.00581749058991944,0.004708108393030916,0.006572648037841155,0.007059840583706299,0.003514583086795783,0.006338517649019746
res_count_core_SASA,0.000939594859980615,0.002118986063772735,0.001475032123898545,0.0009374508571557752,0.0008984421931139974,0.0005269102699246683,0.0015610618958913582,0.001553488169677626,0.0008489914299060033,0.0012071881955780508
res_count_core_SCN,0.0012292079459730223,0.0017108015473685549,0.001923634221704347,0.0009878905305564245,0.0007613240125998382,0.0013597926525132254,0.001852092008831859,0.001399834151627647,0.0009070497371468287,0.0012469603804389025
score_per_res,0.06729385809252446,0.071936582340996,0.06659161888598816,0.08016975774734682,0.09578979944471677,0.10155141296639228,0.08485083927288362,0.0576735578945089,0.069106639242024,0.062037960218149814
ss_contributes_core,1.1996385270004105e-05,0.00019684321063336864,9.744890653214875e-05,4.752079967892347e-05,4.955227777710186e-19,0.00014530066098661384,8.081452228981375e-05,7.622812732978454e-05,0.00012532621376445068,6.558077528998599e-06
ss_sc,0.004747456906019657,0.0061119052278395,0.007598409496949677,0.004989382609972808,0.004425017081796618,0.004492516065177288,0.006166155037073062,0.006046375460887275,0.0033342987983331737,0.00550391615825991
sum_best_frags,0.011249760988885813,0.00877375759150942,0.008918903477612757,0.0067529049205028455,0.0097112876930251,0.008447087103184713,0.011394148710772227,0.01076638873742347,0.007266520395687547,0.009337666367394378
total_score,0.07350801050416435,0.06865586626545636,0.060946017445016265,0.07386435527108981,0.0922683695101975,0.08699184018149428,0.08876653189375515,0.05871662340568899,0.06323275643232065,0.06233847871868554
tryp_cut_sites,0.0020622051136636914,0.0037342609708051716,0.002763400952377178,0.0024498842981130636,0.001430068473993163,0.0021879970817169627,0.0029421155610793314,0.0035812860738190537,0.0018994165814244996,0.0022301140494145654
two_core_each,0.0007138074595626355,0.0009161607056811633,0.001094363956419918,0.0006877394435251237,0.0004722784307395325,0.000381934214243601,0.0009432010241580029,0.0008736436297311932,0.0006265883185659992,0.000702899592459687
worst6frags,0.009605344684622725,0.00806273556504619,0.010958084258156846,0.00860600846900232,0.007855213942612698,0.00783356615770997,0.009012748159255473,0.010633313447819641,0.006762293525569829,0.010655814365193087
worstfrag,0.007652432081763627,0.00763535588783389,0.010393512888967255,0.007046855361029956,0.007522584235061226,0.00711707560543331,0.007659670846718371,0.010306083481902213,0.007924739209773402,0.008484966259878974
